bot_id,top_id,bot_type,top_type,x,y,z_bot,z_top,dx,dy,dz,dist_xy,type_pair,label,sector6,ang_deg,ang_margin,dz_thresh,confidence,is_boundary,label_raw,frac1,frac2,block_id
4595,7360,2,3,106.121999089058,49.1324797349132,17.4930295004804,20.7601177663571,-0.36349552044998745,0.6878818259215009,3.2670882658767013,0.7780169662804953,2->3,BA,2,117.85319468131523,27.853194681315244,3.336072339193011,0.4996537262539633,0,AB,0.5875470158453171,0.4286969597274602,2
4596,7361,2,3,108.309447900563,50.3537393583631,17.4959525942093,20.7606740934702,-0.39876863099900106,0.7505947127680983,3.264721499260901,0.8499463770757785,2->3,BA,2,117.98037866644265,27.980378666442647,3.336072339193011,0.5483402967820289,0,AB,0.5987482106741733,0.43935284948583614,2
4597,7362,2,3,110.496136227779,51.5756869483042,17.4989619043575,20.759997859593,-0.4325204556600113,0.8119291759146989,3.2610359552354993,0.9199472437405668,2->3,BA,2,118.04454604787641,28.044546047876395,3.336072339193011,0.5948622168083687,0,AB,0.6099406576474349,0.450014741976921,2
4598,7363,2,3,112.68181734894,52.7987406948914,17.5016075820197,20.7580479551158,-0.4642947238470043,0.8710318651478985,3.2564403730960976,0.9870491885895013,2->3,BA,2,118.05939529092294,28.059395290922936,3.336072339193011,0.6385900555924234,0,AB,0.6211206680249004,0.46068628604663,2
4599,7364,2,3,114.866296882952,54.023240529648,17.503506169377,20.7549104780419,-0.49373362410300103,0.9272059712217029,3.251404308664899,1.0504683739356768,2->3,BA,2,118.0351300311524,28.03513003115239,3.336072339193011,0.6790325681461798,0,AB,0.6322852899871473,0.47137044770871506,2
4600,7365,2,3,117.049436328443,55.2494321020247,17.5043914381792,20.7507753358327,-0.5205881244979906,0.9799424639257026,3.246383897653498,1.1096392332524623,2->3,BA,2,117.97918668122726,27.979186681227247,3.336072339193011,0.715849848934505,0,AB,0.6434324052827328,0.48206937033499947,2
4601,7366,2,3,119.231159884482,56.4774611682121,17.504152563603,20.7459074520993,-0.5447255559840016,1.028933105320796,3.241754888496299,1.1642290438600027,2->3,BA,2,117.89710857680267,27.89710857680268,3.336072339193011,0.7488635117887804,0,AB,0.6545608052476907,0.4927843256959315,2
4602,7367,2,3,121.411443158814,57.7073777247185,17.5028391206724,20.7406184689942,-0.5661108225420008,1.0740634847420054,3.237779348321798,1.214122659641653,2->3,BA,2,117.79254396357909,27.792543963579078,3.336072339193011,0.778029231053262,0,AB,0.6656700874475379,0.5035157500274027,3
4603,7368,2,3,123.590312292289,58.9391485907041,17.5006427657099,20.7352358867676,-0.5848010457650048,1.1153883339561972,3.2345931210576992,1.259398030272171,2->3,BA,2,117.66814120771565,27.66814120771565,3.336072339193011,0.8034299946265337,0,AB,0.6767605941686574,0.5142633538157304,3
4604,7369,2,3,125.767827094556,60.1726737258115,17.4978555426419,20.7300796950045,-0.6009168218830041,1.1531002847691028,3.2322241523625976,1.3002850816480807,2->3,BA,2,117.52543698537532,27.525436985375336,3.336072339193011,0.8252354015489093,0,AB,0.6878332137964117,0.5250262641760673,3
4605,10186,2,4,127.944074378407,61.4078063787121,17.4948237177099,20.7393946002783,-1.332079532895989,-0.07004635719950159,3.2445708825684,1.3339199279257044,2->4,BA,3,183.01008126738043,26.98991873261957,3.336072339193011,0.8301114144603542,0,BA,0.6988892425457499,0.535803200655061,3
4606,10187,2,4,130.119156158536,62.6443703580867,17.4919000426407,20.7349533118114,-1.3442575878729883,-0.03788180351969572,3.243053269170698,1.3447912453581818,2->4,BA,3,181.61419448515565,28.38580551484435,3.336072339193011,0.8801590201993678,0,BA,0.7099302199393636,0.5465926259258088,3
4607,10188,2,4,132.29317925896,63.882175819864,17.4893985715743,20.7314091163283,-1.354351308022018,-0.008379681362299607,3.2420105447540024,1.3543772312766797,2->4,BA,3,180.3544975711967,29.645502428803297,3.336072339193011,0.9257708616262849,0,BA,0.7209577814032605,0.5573928835366802,3
4608,10189,2,4,134.466252843907,65.121031893387,17.4875685783982,20.7289339768092,-1.3625694845709972,0.018850350610406963,3.2413653984109985,1.3626998701116135,2->4,BA,3,179.20739701806906,29.20739701806906,3.336072339193011,0.9176944743412316,0,BA,0.7319735845255612,0.5682023080787477,3
4609,7450,2,3,136.638480132271,66.3607540785378,17.4865748992704,20.7152975155135,-0.6408548712720119,-1.203839460193393,3.2287226162431004,1.3637904574940343,2->3,BA,4,241.9717311422574,28.028268857742603,3.336072339193011,0.8813511392021375,0,AB,0.7429792141768137,0.5790192897281223,3
4610,7451,2,3,138.809959149331,67.6011694743622,17.4864919332966,20.7152771741412,-0.6452329648970192,-1.1795468330527967,3.2287852408446014,1.3444910971645294,2->3,BA,4,241.32056123358393,28.67943876641607,3.336072339193011,0.8890652324686064,0,AB,0.753976165379518,0.5898423198674131,3
4611,7452,2,3,140.980780217465,68.8421198108425,17.4873089348293,20.7165239661618,-0.6482913066199956,-1.1564420439019045,3.229215031332501,1.325760091096076,2->3,BA,4,240.72539080174616,29.27460919825384,3.336072339193011,0.8948723631472968,0,AB,0.7649658111204661,0.6006700175389362,3
4612,7453,2,3,143.151026120886,70.0834609019766,17.4889382359581,20.7189111390179,-0.6501909947469926,-1.1342202703554989,3.229972903059803,1.3073652708158439,2->3,BA,4,240.17653839358042,29.823461606419585,3.336072339193011,0.899000726589595,0,AB,0.7759494059815778,0.6115011246726517,3
4613,7454,2,3,145.320772276631,71.3250606679882,17.4912287001168,20.7222572121211,-0.6510787317999984,-1.1126027292605016,3.2310285120043005,1.2891036995370897,2->3,BA,4,239.664457742862,29.664457742861998,3.336072339193011,0.8817172081591892,0,AB,0.7869280960603854,0.6223344888293009,3
4614,7455,2,3,147.490089019707,72.566797434476,17.4939862640272,20.7263416276121,-0.6510908305259875,-1.0913341241865027,3.232355363584901,1.2707987410321673,2->3,BA,4,239.17966325991387,29.179663259913866,3.336072339193011,0.854992095674486,0,AB,0.7979029436576475,0.6331690483599256,3
4615,7456,2,3,149.659041871391,73.80855701577,17.4969923084039,20.7309235223245,-0.6503541151359968,-1.0701767969482034,3.2339312139205987,1.2522934367793523,2->3,BA,4,238.71264982491417,28.712649824914166,3.336072339193011,0.8290570695209788,0,AB,0.8088749420290556,0.6440038069571984,3
4616,7457,2,3,151.827692359901,75.0502291188885,17.5000176362844,20.7357604521666,-0.6489882111099803,-1.0489049065103018,3.2357428158821975,1.2334452566130032,2->3,BA,4,238.25370671972308,28.253706719723084,3.336072339193011,0.8035267883419227,0,AB,0.81984503727484,0.6548378022787708,3
4617,7458,2,3,153.996101531629,76.2917053579283,17.502839267297,20.7406185354595,-0.6471108868779822,-1.027298218780487,3.2377792681625017,1.2141227821870284,2->3,BA,4,237.79254564959672,27.79254564959672,3.336072339193011,0.778029356780971,0,AB,0.8308141635344408,0.6656700886221782,3
